symbol,date,price
MSFT,1/1/2000,39.81
MSFT,2/1/2000,36.35
MSFT,3/1/2000,43.22
MSFT,4/1/2000,28.37
MSFT,5/1/2000,25.45
MSFT,6/1/2000,32.54
MSFT,7/1/2000,28.4
MSFT,8/1/2000,28.4
MSFT,9/1/2000,24.53
MSFT,10/1/2000,28.02
MSFT,11/1/2000,23.34
MSFT,12/1/2000,17.65
MSFT,1/1/2019,24.84
MSFT,2/1/2019,24
MSFT,3/1/2019,22.25
MSFT,4/1/2019,27.56
MSFT,5/1/2019,28.14
MSFT,6/1/2019,29.7
MSFT,7/1/2019,26.93
MSFT,8/1/2019,23.21
MSFT,9/1/2019,20.82
MSFT,10/1/2019,23.65
MSFT,11/1/2019,26.12
MSFT,12/1/2019,26.95
MSFT,1/2/2019,25.92
MSFT,2/2/2019,23.73
MSFT,3/2/2019,24.53
MSFT,4/2/2019,21.26
MSFT,5/2/2019,20.71
MSFT,6/2/2019,22.25
MSFT,7/2/2019,19.52
MSFT,8/2/2019,19.97
MSFT,9/2/2019,17.79
MSFT,10/2/2019,21.75
MSFT,11/2/2019,23.46
MSFT,12/2/2019,21.03
MSFT,1/3/2019,19.31
MSFT,2/3/2019,19.34
MSFT,3/3/2019,19.76
MSFT,4/3/2019,20.87
MSFT,5/3/2019,20.09
MSFT,6/3/2019,20.93
MSFT,7/3/2019,21.56
MSFT,8/3/2019,21.65
MSFT,9/3/2019,22.69
MSFT,10/3/2019,21.45
MSFT,11/3/2019,21.1
MSFT,12/3/2019,22.46
MSFT,1/4/2019,22.69
MSFT,2/4/2019,21.77
MSFT,3/4/2019,20.46
MSFT,4/4/2019,21.45
MSFT,5/4/2019,21.53
MSFT,6/4/2019,23.44
MSFT,7/4/2019,23.38
MSFT,8/4/2019,22.47
MSFT,9/4/2019,22.76
MSFT,10/4/2019,23.02
MSFT,11/4/2019,24.6
MSFT,12/4/2019,24.52
MSFT,1/5/2019,24.11
MSFT,2/5/2019,23.15
MSFT,3/5/2019,22.24
MSFT,4/5/2019,23.28
MSFT,5/5/2019,23.82
MSFT,6/5/2019,22.93
MSFT,7/5/2019,23.64
MSFT,8/5/2019,25.35
MSFT,9/5/2019,23.83
MSFT,10/5/2019,23.8
MSFT,11/5/2019,25.71
MSFT,12/5/2019,24.29
MSFT,1/6/2019,26.14
MSFT,2/6/2019,25.04
MSFT,3/6/2019,25.36
MSFT,4/6/2019,22.5
MSFT,5/6/2019,21.19
MSFT,6/6/2019,21.8
MSFT,7/6/2019,22.51
MSFT,8/6/2019,24.13
MSFT,9/6/2019,25.68
MSFT,10/6/2019,26.96
MSFT,11/6/2019,27.66
MSFT,12/6/2019,28.13
MSFT,1/7/2019,29.07
MSFT,2/7/2019,26.63
MSFT,3/7/2019,26.35
MSFT,4/7/2019,28.3
MSFT,5/7/2019,29.11
MSFT,6/7/2019,27.95
MSFT,7/7/2019,27.5
MSFT,8/7/2019,27.34
MSFT,9/7/2019,28.04
MSFT,10/7/2019,35.03
MSFT,11/7/2019,32.09
MSFT,12/7/2019,34
MSFT,1/8/2019,31.13
MSFT,2/8/2019,26.07
MSFT,3/8/2019,27.21
MSFT,4/8/2019,27.34
MSFT,5/8/2019,27.25
MSFT,6/8/2019,26.47
MSFT,7/8/2019,24.75
MSFT,8/8/2019,26.36
MSFT,9/8/2019,25.78
MSFT,10/8/2019,21.57
MSFT,11/8/2019,19.66
MSFT,12/8/2019,18.91
MSFT,1/9/2019,16.63
MSFT,2/9/2019,15.81
MSFT,3/9/2019,17.99
MSFT,4/9/2019,19.84
MSFT,5/9/2019,20.59
MSFT,6/9/2019,23.42
MSFT,7/9/2019,23.18
MSFT,8/9/2019,24.43
MSFT,9/9/2019,25.49
MSFT,10/9/2019,27.48
MSFT,11/9/2019,29.27
MSFT,12/9/2019,30.34
MSFT,1/10/2019,28.05
MSFT,2/10/2019,28.67
MSFT,3/10/2019,28.8
AMZN,1/1/2000,64.56
AMZN,2/1/2000,68.87
AMZN,3/1/2000,67
AMZN,4/1/2000,55.19
AMZN,5/1/2000,48.31
AMZN,6/1/2000,36.31
AMZN,7/1/2000,30.12
AMZN,8/1/2000,41.5
AMZN,9/1/2000,38.44
AMZN,10/1/2000,36.62
AMZN,11/1/2000,24.69
AMZN,12/1/2000,15.56
AMZN,1/1/2019,17.31
AMZN,2/1/2019,10.19
AMZN,3/1/2019,10.23
AMZN,4/1/2019,15.78
AMZN,5/1/2019,16.69
AMZN,6/1/2019,14.15
AMZN,7/1/2019,12.49
AMZN,8/1/2019,8.94
AMZN,9/1/2019,5.97
AMZN,10/1/2019,6.98
AMZN,11/1/2019,11.32
AMZN,12/1/2019,10.82
AMZN,1/2/2019,14.19
AMZN,2/2/2019,14.1
AMZN,3/2/2019,14.3
AMZN,4/2/2019,16.69
AMZN,5/2/2019,18.23
AMZN,6/2/2019,16.25
AMZN,7/2/2019,14.45
AMZN,8/2/2019,14.94
AMZN,9/2/2019,15.93
AMZN,10/2/2019,19.36
AMZN,11/2/2019,23.35
AMZN,12/2/2019,18.89
AMZN,1/3/2019,21.85
AMZN,2/3/2019,22.01
AMZN,3/3/2019,26.03
AMZN,4/3/2019,28.69
AMZN,5/3/2019,35.89
AMZN,6/3/2019,36.32
AMZN,7/3/2019,41.64
AMZN,8/3/2019,46.32
AMZN,9/3/2019,48.43
AMZN,10/3/2019,54.43
AMZN,11/3/2019,53.97
AMZN,12/3/2019,52.62
AMZN,1/4/2019,50.4
AMZN,2/4/2019,43.01
AMZN,3/4/2019,43.28
AMZN,4/4/2019,43.6
AMZN,5/4/2019,48.5
AMZN,6/4/2019,54.4
AMZN,7/4/2019,38.92
AMZN,8/4/2019,38.14
AMZN,9/4/2019,40.86
AMZN,10/4/2019,34.13
AMZN,11/4/2019,39.68
AMZN,12/4/2019,44.29
AMZN,1/5/2019,43.22
AMZN,2/5/2019,35.18
AMZN,3/5/2019,34.27
AMZN,4/5/2019,32.36
AMZN,5/5/2019,35.51
AMZN,6/5/2019,33.09
AMZN,7/5/2019,45.15
AMZN,8/5/2019,42.7
AMZN,9/5/2019,45.3
AMZN,10/5/2019,39.86
AMZN,11/5/2019,48.46
AMZN,12/5/2019,47.15
AMZN,1/6/2019,44.82
AMZN,2/6/2019,37.44
AMZN,3/6/2019,36.53
AMZN,4/6/2019,35.21
AMZN,5/6/2019,34.61
AMZN,6/6/2019,38.68
AMZN,7/6/2019,26.89
AMZN,8/6/2019,30.83
AMZN,9/6/2019,32.12
AMZN,10/6/2019,38.09
AMZN,11/6/2019,40.34
AMZN,12/6/2019,39.46
AMZN,1/7/2019,37.67
AMZN,2/7/2019,39.14
AMZN,3/7/2019,39.79
AMZN,4/7/2019,61.33
AMZN,5/7/2019,69.14
AMZN,6/7/2019,68.41
AMZN,7/7/2019,78.54
AMZN,8/7/2019,79.91
AMZN,9/7/2019,93.15
AMZN,10/7/2019,89.15
AMZN,11/7/2019,90.56
AMZN,12/7/2019,92.64
AMZN,1/8/2019,77.7
AMZN,2/8/2019,64.47
AMZN,3/8/2019,71.3
AMZN,4/8/2019,78.63
AMZN,5/8/2019,81.62
AMZN,6/8/2019,73.33
AMZN,7/8/2019,76.34
AMZN,8/8/2019,80.81
AMZN,9/8/2019,72.76
AMZN,10/8/2019,57.24
AMZN,11/8/2019,42.7
AMZN,12/8/2019,51.28
AMZN,1/9/2019,58.82
AMZN,2/9/2019,64.79
AMZN,3/9/2019,73.44
AMZN,4/9/2019,80.52
AMZN,5/9/2019,77.99
AMZN,6/9/2019,83.66
AMZN,7/9/2019,85.76
AMZN,8/9/2019,81.19
AMZN,9/9/2019,93.36
AMZN,10/9/2019,118.81
AMZN,11/9/2019,135.91
AMZN,12/9/2019,134.52
AMZN,1/10/2019,125.41
AMZN,2/10/2019,118.4
AMZN,3/10/2019,128.82
IBM,1/1/2000,100.52
IBM,2/1/2000,92.11
IBM,3/1/2000,106.11
IBM,4/1/2000,99.95
IBM,5/1/2000,96.31
IBM,6/1/2000,98.33
IBM,7/1/2000,100.74
IBM,8/1/2000,118.62
IBM,9/1/2000,101.19
IBM,10/1/2000,88.5
IBM,11/1/2000,84.12
IBM,12/1/2000,76.47
IBM,1/1/2019,100.76
IBM,2/1/2019,89.98
IBM,3/1/2019,86.63
IBM,4/1/2019,103.7
IBM,5/1/2019,100.82
IBM,6/1/2019,102.35
IBM,7/1/2019,94.87
IBM,8/1/2019,90.25
IBM,9/1/2019,82.82
IBM,10/1/2019,97.58
IBM,11/1/2019,104.5
IBM,12/1/2019,109.36
IBM,1/2/2019,97.54
IBM,2/2/2019,88.82
IBM,3/2/2019,94.15
IBM,4/2/2019,75.82
IBM,5/2/2019,72.97
IBM,6/2/2019,65.31
IBM,7/2/2019,63.86
IBM,8/2/2019,68.52
IBM,9/2/2019,53.01
IBM,10/2/2019,71.76
IBM,11/2/2019,79.16
IBM,12/2/2019,70.58
IBM,1/3/2019,71.22
IBM,2/3/2019,71.13
IBM,3/3/2019,71.57
IBM,4/3/2019,77.47
IBM,5/3/2019,80.48
IBM,6/3/2019,75.42
IBM,7/3/2019,74.28
IBM,8/3/2019,75.12
IBM,9/3/2019,80.91
IBM,10/3/2019,81.96
IBM,11/3/2019,83.08
IBM,12/3/2019,85.05
IBM,1/4/2019,91.06
IBM,2/4/2019,88.7
IBM,3/4/2019,84.41
IBM,4/4/2019,81.04
IBM,5/4/2019,81.59
IBM,6/4/2019,81.19
IBM,7/4/2019,80.19
IBM,8/4/2019,78.17
IBM,9/4/2019,79.13
IBM,10/4/2019,82.84
IBM,11/4/2019,87.15
IBM,12/4/2019,91.16
IBM,1/5/2019,86.39
IBM,2/5/2019,85.78
IBM,3/5/2019,84.66
IBM,4/5/2019,70.77
IBM,5/5/2019,70.18
IBM,6/5/2019,68.93
IBM,7/5/2019,77.53
IBM,8/5/2019,75.07
IBM,9/5/2019,74.7
IBM,10/5/2019,76.25
IBM,11/5/2019,82.98
IBM,12/5/2019,76.73
IBM,1/6/2019,75.89
IBM,2/6/2019,75.09
IBM,3/6/2019,77.17
IBM,4/6/2019,77.05
IBM,5/6/2019,75.04
IBM,6/6/2019,72.15
IBM,7/6/2019,72.7
IBM,8/6/2019,76.35
IBM,9/6/2019,77.26
IBM,10/6/2019,87.06
IBM,11/6/2019,86.95
IBM,12/6/2019,91.9
IBM,1/7/2019,93.79
IBM,2/7/2019,88.18
IBM,3/7/2019,89.44
IBM,4/7/2019,96.98
IBM,5/7/2019,101.54
IBM,6/7/2019,100.25
IBM,7/7/2019,105.4
IBM,8/7/2019,111.54
IBM,9/7/2019,112.6
IBM,10/7/2019,111
IBM,11/7/2019,100.9
IBM,12/7/2019,103.7
IBM,1/8/2019,102.75
IBM,2/8/2019,109.64
IBM,3/8/2019,110.87
IBM,4/8/2019,116.23
IBM,5/8/2019,125.14
IBM,6/8/2019,114.6
IBM,7/8/2019,123.74
IBM,8/8/2019,118.16
IBM,9/8/2019,113.53
IBM,10/8/2019,90.24
IBM,11/8/2019,79.65
IBM,12/8/2019,82.15
IBM,1/9/2019,89.46
IBM,2/9/2019,90.32
IBM,3/9/2019,95.09
IBM,4/9/2019,101.29
IBM,5/9/2019,104.85
IBM,6/9/2019,103.01
IBM,7/9/2019,116.34
IBM,8/9/2019,117
IBM,9/9/2019,118.55
IBM,10/9/2019,119.54
IBM,11/9/2019,125.79
IBM,12/9/2019,130.32
IBM,1/10/2019,121.85
IBM,2/10/2019,127.16
IBM,3/10/2019,125.55
AAPL,1/1/2000,25.94
AAPL,2/1/2000,28.66
AAPL,3/1/2000,33.95
AAPL,4/1/2000,31.01
AAPL,5/1/2000,21
AAPL,6/1/2000,26.19
AAPL,7/1/2000,25.41
AAPL,8/1/2000,30.47
AAPL,9/1/2000,12.88
AAPL,10/1/2000,9.78
AAPL,11/1/2000,8.25
AAPL,12/1/2000,7.44
AAPL,1/1/2019,10.81
AAPL,2/1/2019,9.12
AAPL,3/1/2019,11.03
AAPL,4/1/2019,12.74
AAPL,5/1/2019,9.98
AAPL,6/1/2019,11.62
AAPL,7/1/2019,9.4
AAPL,8/1/2019,9.27
AAPL,9/1/2019,7.76
AAPL,10/1/2019,8.78
AAPL,11/1/2019,10.65
AAPL,12/1/2019,10.95
AAPL,1/2/2019,12.36
AAPL,2/2/2019,10.85
AAPL,3/2/2019,11.84
AAPL,4/2/2019,12.14
AAPL,5/2/2019,11.65
AAPL,6/2/2019,8.86
AAPL,7/2/2019,7.63
AAPL,8/2/2019,7.38
AAPL,9/2/2019,7.25
AAPL,10/2/2019,8.03
AAPL,11/2/2019,7.75
AAPL,12/2/2019,7.16
AAPL,1/3/2019,7.18
AAPL,2/3/2019,7.51
AAPL,3/3/2019,7.07
AAPL,4/3/2019,7.11
AAPL,5/3/2019,8.98
AAPL,6/3/2019,9.53
AAPL,7/3/2019,10.54
AAPL,8/3/2019,11.31
AAPL,9/3/2019,10.36
AAPL,10/3/2019,11.44
AAPL,11/3/2019,10.45
AAPL,12/3/2019,10.69
AAPL,1/4/2019,11.28
AAPL,2/4/2019,11.96
AAPL,3/4/2019,13.52
AAPL,4/4/2019,12.89
AAPL,5/4/2019,14.03
AAPL,6/4/2019,16.27
AAPL,7/4/2019,16.17
AAPL,8/4/2019,17.25
AAPL,9/4/2019,19.38
AAPL,10/4/2019,26.2
AAPL,11/4/2019,33.53
AAPL,12/4/2019,32.2
AAPL,1/5/2019,38.45
AAPL,2/5/2019,44.86
AAPL,3/5/2019,41.67
AAPL,4/5/2019,36.06
AAPL,5/5/2019,39.76
AAPL,6/5/2019,36.81
AAPL,7/5/2019,42.65
AAPL,8/5/2019,46.89
AAPL,9/5/2019,53.61
AAPL,10/5/2019,57.59
AAPL,11/5/2019,67.82
AAPL,12/5/2019,71.89
AAPL,1/6/2019,75.51
AAPL,2/6/2019,68.49
AAPL,3/6/2019,62.72
AAPL,4/6/2019,70.39
AAPL,5/6/2019,59.77
AAPL,6/6/2019,57.27
AAPL,7/6/2019,67.96
AAPL,8/6/2019,67.85
AAPL,9/6/2019,76.98
AAPL,10/6/2019,81.08
AAPL,11/6/2019,91.66
AAPL,12/6/2019,84.84
AAPL,1/7/2019,85.73
AAPL,2/7/2019,84.61
AAPL,3/7/2019,92.91
AAPL,4/7/2019,99.8
AAPL,5/7/2019,121.19
AAPL,6/7/2019,122.04
AAPL,7/7/2019,131.76
AAPL,8/7/2019,138.48
AAPL,9/7/2019,153.47
AAPL,10/7/2019,189.95
AAPL,11/7/2019,182.22
AAPL,12/7/2019,198.08
AAPL,1/8/2019,135.36
AAPL,2/8/2019,125.02
AAPL,3/8/2019,143.5
AAPL,4/8/2019,173.95
AAPL,5/8/2019,188.75
AAPL,6/8/2019,167.44
AAPL,7/8/2019,158.95
AAPL,8/8/2019,169.53
AAPL,9/8/2019,113.66
AAPL,10/8/2019,107.59
AAPL,11/8/2019,92.67
AAPL,12/8/2019,85.35
AAPL,1/9/2019,90.13
AAPL,2/9/2019,89.31
AAPL,3/9/2019,105.12
AAPL,4/9/2019,125.83
AAPL,5/9/2019,135.81
AAPL,6/9/2019,142.43
AAPL,7/9/2019,163.39
AAPL,8/9/2019,168.21
AAPL,9/9/2019,185.35
AAPL,10/9/2019,188.5
AAPL,11/9/2019,199.91
AAPL,12/9/2019,210.73
AAPL,1/10/2019,192.06
AAPL,2/10/2019,204.62
AAPL,3/10/2019,223.02
